days since start of presidency,rolling avg trump,rolling avg biden
0,152.8083333,0
1,122.3055556,0
2,929.35,0
3,822.4555556,0
4,832.3722222,0
5,889.6073871,0
6,895.5018315,0
7,1320.193498,0
8,515.0101648,0
9,520.4562118,0
10,526.8704976,0
11,474.2156899,0
12,460.7950549,0
13,69.08807549,0
14,80.97994057,0
15,519.9628618,0
16,510.787465,0
17,662.2434326,0
18,794.3418453,0
19,774.4677101,30.6
20,791.6694958,91.6
21,350.8377498,167.2666667
22,343.9306069,233.5333333
23,199.6303932,298
24,67.85539322,332.7666667
25,99.73373016,330.7666667
26,417.7555556,312.4
27,926.8722222,296.1333333
28,1553.029365,267.8666667
29,1542.422421,246.9
30,1544.163161,234.2666667
31,1504.347349,199.6
32,1169.393778,171.6666667
33,658.1160002,181.2666667
34,29.55488909,214.0666667
35,52.57876475,229.1
36,85.87481296,232.5666667
37,92.19062492,228.4
38,78.24856143,211.8
39,76.85411698,177.4
40,77.25689476,162.0666667
41,51.34459317,186.7333333
42,448.0071785,206.9333333
43,498.7313318,189.3333333
44,514.1354985,154.7333333
45,514.5591859,135.2666667
46,533.4774399,122.9
47,536.8738023,104.6
48,109.8228407,113.3
49,45.94313187,124.4
50,30.35801282,186.6
51,29.60099206,285.6
52,11.90793651,340
53,8.566666667,359.1
54,19.3031746,361.4
55,24.60456349,285.7
56,26.92678571,161.1
57,27.6656746,113.1
58,25.95436508,124.2
59,29.03174603,139.2
60,14.32857143,172.2
61,9.016071429,217.7
62,8.811706349,232.4
63,10.51779101,236.2
64,11.88247354,259.2
65,10.69973545,275.8
66,9.462433862,272.8
67,34.55277778,267.7
68,32.85436508,262.4
69,74.9290885,242.1
70,97.99959115,211.4
71,97.92022607,181.8
72,105.9243927,151
73,253.4479377,131.8
74,253.2784933,131.3
75,208.8421296,135.6
76,184.5736111,150.3
77,182.2958333,179.4
78,178.5800265,186.6666667
79,6.355026455,199.0333333
80,7.146693122,213.1333333
81,10.34391534,206.2333333
82,11.27248677,199.0666667
83,34.50026455,248.0833333
84,30.02301587,290.7666667
85,29.41190476,277.8666667
86,205.2183862,368.0666667
87,215.6539021,549.9333333
88,217.2009259,594.75
89,227.3009259,560.1
90,229.1287037,581.8
91,243.7270803,502.7
92,102.1299242,355.3
93,102.543272,301.2
94,103.3787879,288.8
95,115.2501554,271.2
96,132.4479067,288.6666667
97,322.5109058,331.9333333
98,288.1763158,325.1333333
99,277.8709707,350.1666667
100,279.9847934,382